id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,protected,verified,description,updated,dataset,label
1664073019,Lavona Keller,kellervxg,13.09373278,0,0,0,0,Sun Jun 24 03:26:11 +0000 2012,0,en,,,2.874910193,0,0,http://a0.twimg.com/profile_images/3310916330/3f22d8b6da81af51fd864f49b81b2a93_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,,,C0DEED,0,DDEEF6,,C0DEED,,0,0,0,Keep moving forwad,2/14/2015 10:40,,1
729634531.1,Elizabet Graves,,0,0,0,0,0,Mon Jun 25 02:06:59 +0000 2012,0,en,,"Manhattan, NY",0,0,0,http://a0.twimg.com/profile_images/3192428454/31489a6222657d71377ee6715f7406a2_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,,https://si0.twimg.com/profile_images/3192428454/31489a6222657d71377ee6715f7406a2_normal.jpeg,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,,0084B4,0,0,0,,2/14/2015 10:40,,1
1214885356,Estelle Santos,estellesant,52.94164201,0,518.5082865,0,0,Sat Jun 23 19:48:28 +0000 2012,0,en,,,0,0,0,http://a0.twimg.com/profile_images/3232367297/17cfc889d7706d121cb65cb0034c5d2e_normal.jpeg,,0.515751284,https://si0.twimg.com/images/themes/theme1/bg.png,333333,,,0,,,C0DEED,0084B4,0,0,0,"Practical wisdom,healh, Chinese Medicine",,,1
0,Patsy Weiss,patsyyor,18.85732081,0,1059.138617,0,0,Sat Jun 23 15:34:23 +0000 2012,0,en,,atlanta georgia,2.297083261,0,0,,,0,https://si0.twimg.com/images/themes/theme1/bg.png,,,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,0,0,0,this is a support page or el_aminito check him out follow him he is so cute and suppot him http://t.co/UvlhlFxF,,INT,1
1844411555,Cindy Cook,,51.16710955,7.368222784,0,0,0,,0,en,,Worldwide,0,0,0,http://a0.twimg.com/profile_images/3234284505/46ee8e849cce45b6f5d3849be54a5e3d_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,,,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,,,0,0,0,,,,1
1275418382,Amal Erickson,amalericksonnn,49.37579715,0,0,0,0,,0,,,HoustAtlantaVegas,0,0,0,http://a0.twimg.com/profile_images/3020374451/2e8b49ba86880003f4978f8ac423ef5c_normal.jpeg,,1.267055451,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3020374451/2e8b49ba86880003f4978f8ac423ef5c_normal.jpeg,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,,0,0,0,drakejcoleeminemwizkhalifakidcudimamiler,2/14/2015 10:40,INT,1
920149641.3,Len House,,0,0,0,0,0,Sat Jul 21 13:03:38 +0000 2012,0,en,,Uptown,0,0,0,http://a0.twimg.com/profile_images/3296650972/e258002019b0c06bb0f35294e55964bf_normal.jpeg,,0.231001819,,,,,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,,0,0,0,,2/14/2015 10:40,INT,1
0,Shelia Stanton,sheliaymaek,0,0,0,0,0,Sat Jun 23 15:51:22 +0000 2012,0,,,Somewhere Far.. Away,1.806613989,0,0,,,2.461857711,,,,,0,DDEEF6,,,,0,0,0,"Nothin is ipossible, the word itself says 'I'm possible'!",,INT,1
0,Grisel Grant,griselhang,9.678006236,0,1333.165929,0,0,Tue Jun 26 18:42:28 +0000 2012,0,,,NYC,0,0,0,http://a0.twimg.com/profile_images/3236993162/4f22726e84acb4fcae4892b40e586d42_normal.jpeg,,0.122673168,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3236993162/4f22726e84acb4fcae4892b40e586d42_normal.jpeg,C0DEED,0,,,C0DEED,,0,0,0,,2/14/2015 10:40,INT,1
0,Brandon Bradford,brandonoausn,0,0,981.5321356,0,0,Sat Jun 23 15:48:11 +0000 2012,0,en,,Guarujá/São Paulo,0,0,0,http://a0.twimg.com/profile_images/3239143652/84ffc8f05cbb5f1c161296af7da34bdd_normal.jpeg,,2.298330996,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3239143652/84ffc8f05cbb5f1c161296af7da34bdd_normal.jpeg,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,0,0,0,No riss... o gain!!!,2/14/2015 10:40,,1
0,Jenny Ross,rossydpot,14.00315191,0,99.93337217,0,0,,0,en,,Burnley,0.72113249,0,0,http://a0.twimg.com/profile_images/2960948082/44949c098a15051427ba64056b4f4d99_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/2960948082/44949c098a15051427ba64056b4f4d99_normal.jpeg,C0DEED,0,DDEEF6,,,,0,0,0,,,,1
0,Keeley Conner,keeleyconnereja,0,0,1129.858842,0,0,Tue Jun 26 00:16:15 +0000 2012,0,,,,0,0,0,http://a0.twimg.com/profile_images/3210869620/8ce1902f066f6299072ebc9dcecb1a62_normal.jpeg,,0.181502159,https://si0.twimg.com/images/themes/theme1/bg.png,333333,,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,,0,0,0,"14|WWE fan N simpsonzer Loveto help and meet new friends my other acc@angel_aisha97{LIVE,laugh and have FUN} if u want my E-mail ask me",2/14/2015 10:40,,1
661201683.8,Kelli Warner,,0,7.67714424,72.6582371,0,0,Mon Jun 25 16:05:26 +0000 2012,0,en,,,0,0,0,http://a0.twimg.com/profile_images/3277903873/64c3ad5e1cb0f17b313f2cec2aa9f350_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,,C0DEED,0,,,C0DEED,0084B4,0,0,0,,2/14/2015 10:40,INT,1
0,Paulette Conrad,,0,51.14827634,0,0,0,Wed Jun 27 11:35:07 +0000 2012,0,,,Shrewsbury,0,0,0,http://a0.twimg.com/profile_images/3246017179/e06c7f4f75387ab9222b87a9c907bdb2_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3246017179/e06c7f4f75387ab9222b87a9c907bdb2_normal.jpeg,,0,,http://a0.twimg.com/images/themes/theme1/bg.png,,0084B4,0,0,0,,,INT,1
0,Carolina Bradshaw,bradshawbukap,0,12.92853903,1157.614156,0,0,Tue Jun 26 12:11:54 +0000 2012,0,en,,,0,0,0,http://a0.twimg.com/profile_images/3184981070/5a0f6700c6d9b6e30049aa96628dd560_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3184981070/5a0f6700c6d9b6e30049aa96628dd560_normal.jpeg,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,0,0,0,"Deputado Estadual peo PDB, empresário do ramo varejista e vice presidente da APAS.",2/14/2015 10:40,INT,1
0,Temika Hinton,temikahintonopi,13.4019858,0,0,0,0,,0,en,,,0,0,0,http://a0.twimg.com/profile_images/3242772021/62e4cec276cedc3b4976933044362e82_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,,https://si0.twimg.com/profile_images/3242772021/62e4cec276cedc3b4976933044362e82_normal.jpeg,,0,DDEEF6,,C0DEED,,0,0,0,,2/14/2015 10:40,INT,1
1021069595,Elton Faulkner,,65.49566961,0,105.5977082,0,0,,0,,,,0,0,0,http://a0.twimg.com/profile_images/3298081123/b2b671ec534c849bb8ac301483e95967_normal.jpeg,,1.983982632,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3298081123/b2b671ec534c849bb8ac301483e95967_normal.jpeg,,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,0,0,0,,,INT,1
0,Marica Bean,beanzcpt,21.04857275,0,0,0,0,Sun Jun 24 19:18:45 +0000 2012,0,en,,Shufflin Under The MistleToe.♥,1.105070821,0,0,http://a0.twimg.com/profile_images/3020371857/8d0144053a98e85c8ded655333137568_normal.jpeg,,0.403720674,,333333,,C0DEED,0,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,,0,0,0,"well I'm from Philippines!! I'm jus a normal teenage girl... ahmm actually I really do love DEMI OVATO . so I hope u follow me too, haha..",2/14/2015 10:40,,1
626773349.1,Romaine Strong,romainewivgz,0,0,0,0,0,Fri Jun 29 17:56:40 +0000 2012,0,en,,Somewhere Sunny.,0,0,0,http://a0.twimg.com/profile_images/3005785400/30b77a006894b9b6dad70510dfbf403b_normal.jpeg,,0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3005785400/30b77a006894b9b6dad70510dfbf403b_normal.jpeg,,0,,,C0DEED,,0,0,0,,2/14/2015 10:40,,1
